Metric,Source,Unintegrated,Harmony,Scanorama,scGen,scVI,scanVI
Isolated_labels_ASW,source_7,0.340521558921858,0.338935401956767,0.418310609803901,0.155023915101065,0.346392601383048,0.34505382620896
Isolated_labels_ASW,source_8,0.280879081282395,0.294317069580618,0.383495071792513,0.24159552492448,0.234598799454455,0.305606353781279
Isolated_labels_ASW,source_9,0.240627620739258,0.268943569271375,0.456973902888202,0.268481753914561,0.373943798281006,0.320050343908123
Isolated_labels_F1,source_10,0.0777616279069767,0.072827417380661,0.0738031914893617,0.0360763267740012,0.0559440559440559,0.0636591478696742
Isolated_labels_F1,source_11,0.0408163265306122,0.0408163265306122,0.0384615384615385,0.0194174757281553,0.04,0.105263157894737
Isolated_labels_F1,source_13,0.0567677257535166,0.0495774578958148,0.0534682173691462,0.0467620986768782,0.0393544417845306,0.0483953969870226
Isolated_labels_F1,source_2,0.0512820512820513,0.0476190476190476,0.0476190476190476,0.0263157894736842,0.0434782608695652,0.0285714285714286
Isolated_labels_F1,source_3,0.0380952380952381,0.0380952380952381,0.0377358490566038,0.0357142857142857,0.0372340425531915,0.0833333333333333
Isolated_labels_F1,source_4,0.0258064516129032,0.0392156862745098,0.02,0.0490196078431373,0.0297029702970297,0.0555555555555556
Isolated_labels_F1,source_5,0.0402402402402402,0.0450861195542047,0.059863339275104,0.0959416863672183,0.05,0.173864894795127
Isolated_labels_F1,source_6,0.08,0.0821917808219178,0.0666666666666667,0.0434782608695652,0.0258064516129032,0.0392156862745098
Isolated_labels_F1,source_7,0.0719057132266716,0.0661644098961979,0.0653094782449129,0.0528774854089047,0.0469379389454096,0.10301236129088
Isolated_labels_F1,source_8,0.0707010830175648,0.0688884594881619,0.0685432502369982,0.0748799323553907,0.0616043790774919,0.0856470344253578
Isolated_labels_F1,source_9,0.0855449473166071,0.0834826645791192,0.0879659367129955,0.0730211509861339,0.0491768600479038,0.0749650387235252
NMI,source_10,0.468266147571314,0.461248131433096,0.468429731720103,0.393295310294675,0.361133400187291,0.473991983503387
NMI,source_11,0.452557285436004,0.476615762287891,0.498000379280991,0.417155150522155,0.389090174586082,0.494048342887267
NMI,source_13,0.370004620330958,0.378987816213568,0.351409116450953,0.451325722760343,0.365903330501887,0.430572663786965
NMI,source_2,0.457660789909783,0.453263308747688,0.45475262997698,0.405942816119142,0.381642022325971,0.487315211802136
NMI,source_3,0.396043146531419,0.411343867581776,0.410525357365118,0.326193377790356,0.411033162846966,0.598772964347288
NMI,source_4,0.315061223246791,0.256994207975733,0.272313913724126,0.417649233165704,0.283143506276464,0.513043793193964
NMI,source_5,0.338425256888392,0.343104215965412,0.350257543633197,0.359179144360989,0.339154303757241,0.545441399686752
NMI,source_6,0.44025121062009,0.443340701605269,0.443188497594992,0.28563345657156,0.3462974051179,0.550459917524171
NMI,source_7,0.467808149021773,0.450104352506991,0.44944101339566,0.380991282580093,0.366191344815964,0.514445575331732
NMI,source_8,0.497370195889425,0.478794922767909,0.484715584257572,0.486287001585228,0.443788100214968,0.505324653622969
NMI,source_9,0.410559423908501,0.413215912300342,0.438360843259858,0.34994522830802,0.255738747211538,0.316936047419976
PCR_comparison,source_10,NA,0.327078870446338,0.226067310905486,0.786935240346563,0,0.90800057586491
PCR_comparison,source_11,NA,0.0881514006781014,0,0.961147652930701,0,0.913088105263651
PCR_comparison,source_13,NA,0.0163805024060152,0.0258145130505151,0.366043944936325,0.651965601113314,0.924891463692851
PCR_comparison,source_2,NA,0.284982311103167,0.0897004846624461,0.709752238202456,0,0.875721883022747
PCR_comparison,source_3,NA,0,0.0668765504135459,0.806116102132504,0.796873347553924,0.955256928247261
PCR_comparison,source_4,NA,0,0,0.603801976508226,0.568262245041808,0.943602094349205
PCR_comparison,source_5,NA,0,0,0.756434588944485,0.974116598946918,0.954837883681677
PCR_comparison,source_6,NA,0.115031051947625,0.204848150879098,0.838526812811452,0,0.962870371028279
PCR_comparison,source_7,NA,0.186650487638524,0.0118205799051842,0.443448862366816,0,0.864665979187227
PCR_comparison,source_8,NA,0.191383158390519,0.134295535457779,0.902649339183391,0,0.658145860444498
PCR_comparison,source_9,NA,0.230341707360736,0.189764780292969,0,0,0.477970884829723
Silhouette,source_10,0.419756881892681,0.435033328831196,0.442348483005812,0.365276351571083,0.31833416223526,0.411533027887344
Silhouette,source_11,0.423837997019291,0.426742896437645,0.44503341295096,0.414657570421696,0.361411303281784,0.402273274958134
Silhouette,source_13,0.419222831726074,0.393465086817741,0.418587916650573,0.455429002642632,0.299198508262634,0.386977300047874
Silhouette,source_2,0.445506438612938,0.466624788939953,0.460018805610155,0.380463689565659,0.317506492137909,0.438476789742708
Silhouette,source_3,0.517867004498839,0.506406494416296,0.492813990003618,0.44328124076128,0.424561321735382,0.448068041354418
Silhouette,source_4,0.486257419921458,0.465692915022373,0.484903213863025,0.467700876295567,0.39366503059864,0.433882303535938
Silhouette,source_5,0.493324637413025,0.482152530923486,0.489001111944399,0.429226525127888,0.392483823001385,0.42422217130661
Silhouette,source_6,0.492974241729826,0.481075832620263,0.484447039127627,0.374935388565063,0.423270344734192,0.452592652291059
Silhouette,source_7,0.442211378365755,0.437164910137653,0.446317408721509,0.284964054822922,0.398436933755875,0.421709828078747
Silhouette,source_8,0.393015474081039,0.398091852664948,0.416966962019515,0.357650518417358,0.322702094912529,0.390874028205872
Silhouette,source_9,0.353267282247543,0.372606202960014,0.465744417487238,0.378737010061741,0.399348862469196,0.39228755235672
cLISI,source_10,0.948486759457685,0.952756686291975,0.95320606566779,0.953722595171378,0.955795613594454,0.962290452934009
cLISI,source_11,0.956538849872077,0.961248286377745,0.964082418216469,0.959525377942947,0.961610806655323,0.965669373391928
cLISI,source_13,0.95477082683615,0.956303583230442,0.95655784580108,0.95882147025368,0.959386542365047,0.962617753413412
cLISI,source_2,0.951211451509081,0.951788020076245,0.950992791334764,0.95337325544826,0.954729856444642,0.962977826217249
cLISI,source_3,0.966307172059943,0.962024957197675,0.972123189389001,0.960296603136118,0.965514065428524,0.978345201439658
cLISI,source_4,0.958322046819808,0.959168596983471,0.957084259981037,0.966002776654968,0.962130670685635,0.97436300406554
cLISI,source_5,0.955465577877832,0.956519444920211,0.956402715579949,0.958237286701527,0.961962109664612,0.975775500553023
